,Flux
3_ISOPROPYLMALISOM_RXN_p_Night,0.0
3_ISOPROPYLMALISOM_RXN_p_Open,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Open,0.0
4_AMINO_BUTYRATE_PROTON_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_vc_Open,0.0
4_AMINO_BUTYRATE_mc_Close,0.0
4_AMINO_BUTYRATE_mc_Day,0.0
4_AMINO_BUTYRATE_mc_Night,0.0
4_AMINO_BUTYRATE_mc_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Open,0.0
5_METHYL_THF_pc_Close,0.0
5_METHYL_THF_pc_Day,0.0
5_METHYL_THF_pc_Night,0.0
5_METHYL_THF_pc_Open,0.0
6PFRUCTPHOS_RXN_c_Close,0.12579132962919776
6PFRUCTPHOS_RXN_c_Day,0.0
6PFRUCTPHOS_RXN_c_Night,0.22687124550716392
6PFRUCTPHOS_RXN_c_Open,0.0
6PFRUCTPHOS_RXN_p_Close,0.0
6PFRUCTPHOS_RXN_p_Day,0.0
6PFRUCTPHOS_RXN_p_Night,0.0
6PFRUCTPHOS_RXN_p_Open,0.0
6PGLUCONDEHYDROG_RXN_c_Close,0.14245745655194075
6PGLUCONDEHYDROG_RXN_c_Day,0.0
6PGLUCONDEHYDROG_RXN_c_Night,2.5586034909976143
6PGLUCONDEHYDROG_RXN_c_Open,0.0
6PGLUCONDEHYDROG_RXN_p_Close,0.15926819760351912
6PGLUCONDEHYDROG_RXN_p_Day,0.0
6PGLUCONDEHYDROG_RXN_p_Night,1.751950173638761
6PGLUCONDEHYDROG_RXN_p_Open,0.0
6PGLUCONOLACT_RXN_c_Close,0.14245745655194075
6PGLUCONOLACT_RXN_c_Day,0.0
6PGLUCONOLACT_RXN_c_Night,2.5586034909976143
6PGLUCONOLACT_RXN_c_Open,0.0
6PGLUCONOLACT_RXN_p_Close,0.15926819760351912
6PGLUCONOLACT_RXN_p_Day,0.0
6PGLUCONOLACT_RXN_p_Night,1.751950173638761
6PGLUCONOLACT_RXN_p_Open,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Close,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Day,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Night,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Open,0.0
ACETALD_mc_Close,0.0
ACETALD_mc_Day,0.0
ACETALD_mc_Night,0.0
ACETALD_mc_Open,0.0
ACETATE_COA_LIGASE_RXN_p_Close,0.0
ACETATE_COA_LIGASE_RXN_p_Day,0.0
ACETATE_COA_LIGASE_RXN_p_Night,0.0
ACETATE_COA_LIGASE_RXN_p_Open,0.0
ACETATE_COA_LIGASE_RXN_x_Close,0.0
ACETATE_COA_LIGASE_RXN_x_Day,0.0
ACETATE_COA_LIGASE_RXN_x_Night,0.0
ACETATE_COA_LIGASE_RXN_x_Open,0.0
ACETOLACTREDUCTOISOM_RXN_p_Close,0.0
ACETOLACTREDUCTOISOM_RXN_p_Day,0.0
ACETOLACTREDUCTOISOM_RXN_p_Night,0.0
ACETOLACTREDUCTOISOM_RXN_p_Open,0.0
ACETOLACTSYN_RXN_p_Close,0.0
ACETOLACTSYN_RXN_p_Day,0.0
ACETOLACTSYN_RXN_p_Night,0.0
ACETOLACTSYN_RXN_p_Open,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Close,0.0
