,Flux
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Open,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Close,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Day,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Night,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Open,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Close,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Day,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Night,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Open,0.0
3_ISOPROPYLMALISOM_RXN_p_Close,0.0
3_ISOPROPYLMALISOM_RXN_p_Day,0.0
3_ISOPROPYLMALISOM_RXN_p_Night,0.0
3_ISOPROPYLMALISOM_RXN_p_Open,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Open,0.0
4_AMINO_BUTYRATE_PROTON_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_vc_Open,0.0
4_AMINO_BUTYRATE_mc_Close,0.0
4_AMINO_BUTYRATE_mc_Day,0.0
4_AMINO_BUTYRATE_mc_Night,0.0
4_AMINO_BUTYRATE_mc_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Open,0.0
5_METHYL_THF_pc_Close,0.0
5_METHYL_THF_pc_Day,0.0
5_METHYL_THF_pc_Night,0.0
5_METHYL_THF_pc_Open,0.0
6PFRUCTPHOS_RXN_c_Close,0.1257913296291966
6PFRUCTPHOS_RXN_c_Day,0.0
6PFRUCTPHOS_RXN_c_Night,0.2268712455071783
6PFRUCTPHOS_RXN_c_Open,0.0
6PFRUCTPHOS_RXN_p_Close,0.0
6PFRUCTPHOS_RXN_p_Day,0.0
6PFRUCTPHOS_RXN_p_Night,0.0
6PFRUCTPHOS_RXN_p_Open,0.0
6PGLUCONDEHYDROG_RXN_c_Close,0.14245745655194025
6PGLUCONDEHYDROG_RXN_c_Day,0.0
6PGLUCONDEHYDROG_RXN_c_Night,2.5586034909976147
6PGLUCONDEHYDROG_RXN_c_Open,0.0
6PGLUCONDEHYDROG_RXN_p_Close,0.15926819760352373
6PGLUCONDEHYDROG_RXN_p_Day,0.0
6PGLUCONDEHYDROG_RXN_p_Night,1.751950173638761
6PGLUCONDEHYDROG_RXN_p_Open,0.0
6PGLUCONOLACT_RXN_c_Close,0.14245745655194025
6PGLUCONOLACT_RXN_c_Day,0.0
6PGLUCONOLACT_RXN_c_Night,2.5586034909976147
6PGLUCONOLACT_RXN_c_Open,0.0
6PGLUCONOLACT_RXN_p_Close,0.15926819760352373
6PGLUCONOLACT_RXN_p_Day,0.0
6PGLUCONOLACT_RXN_p_Night,1.751950173638761
6PGLUCONOLACT_RXN_p_Open,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Close,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Day,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Night,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Open,0.0
ACETALD_mc_Close,0.0
ACETALD_mc_Day,0.0
ACETALD_mc_Night,0.0
ACETALD_mc_Open,0.0
ACETATE_COA_LIGASE_RXN_p_Close,0.0
ACETATE_COA_LIGASE_RXN_p_Day,0.0
ACETATE_COA_LIGASE_RXN_p_Night,0.0
ACETATE_COA_LIGASE_RXN_p_Open,0.0
ACETATE_COA_LIGASE_RXN_x_Close,0.0
ACETATE_COA_LIGASE_RXN_x_Day,0.0
ACETATE_COA_LIGASE_RXN_x_Night,0.0
ACETATE_COA_LIGASE_RXN_x_Open,0.0
ACETOLACTREDUCTOISOM_RXN_p_Close,0.0
ACETOLACTREDUCTOISOM_RXN_p_Day,0.0
ACETOLACTREDUCTOISOM_RXN_p_Night,0.0
ACETOLACTREDUCTOISOM_RXN_p_Open,0.0
ACETOLACTSYN_RXN_p_Close,0.0
ACETOLACTSYN_RXN_p_Day,0.0
ACETOLACTSYN_RXN_p_Night,0.0
ACETOLACTSYN_RXN_p_Open,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Close,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Day,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Night,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Open,0.0
ACETOOHBUTSYN_RXN_p_Close,0.0
ACETOOHBUTSYN_RXN_p_Day,0.0
ACETOOHBUTSYN_RXN_p_Night,0.0
ACETOOHBUTSYN_RXN_p_Open,0.0
ACETYLGLUTKIN_RXN_p_Close,0.0
ACETYLGLUTKIN_RXN_p_Day,0.0
ACETYLGLUTKIN_RXN_p_Night,0.0
ACETYLGLUTKIN_RXN_p_Open,0.0
ACETYLORNTRANSAM_RXN_p_Close,0.0
ACETYLORNTRANSAM_RXN_p_Day,0.0
ACETYLORNTRANSAM_RXN_p_Night,0.0
ACETYLORNTRANSAM_RXN_p_Open,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Close,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Day,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Night,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Open,0.0
ACET_mc_Close,0.0
ACET_mc_Day,0.0
ACET_mc_Night,0.0
ACET_mc_Open,0.0
ACET_pc_Close,0.0
ACET_pc_Day,0.0
ACET_pc_Night,0.0
ACET_pc_Open,0.0
ACET_xc_Close,0.0
ACET_xc_Day,0.0
