,Flux
ATP_ADP_Pi_pc_Open,1.7510794402818852
ATP_ADP_mc_Close,3.411936584191175
ATP_ADP_mc_Day,19.331233012180487
ATP_ADP_mc_Night,27.980786945885285
ATP_ADP_mc_Open,2.9194108655628677
ATP_AMP_mc_Close,0.9
ATP_AMP_mc_Day,0.0
ATP_AMP_mc_Night,0.0
ATP_AMP_mc_Open,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Close,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Day,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Night,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Open,0.0
ATP_pc_Close,0.0
ATP_pc_Day,0.0
ATP_pc_Night,0.0
ATP_pc_Open,0.0
ATPase_tx_Close,2.866827556863427
ATPase_tx_Day,31.5351031254977
ATPase_tx_Night,31.5351031254977
ATPase_tx_Open,2.866827556863427
BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p_Close,0.0
BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p_Day,0.0
BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p_Night,0.0
BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p_Open,0.0
BRANCHED_CHAINAMINOTRANSFERLEU_RXN_p_Close,0.0
BRANCHED_CHAINAMINOTRANSFERLEU_RXN_p_Day,0.0
BRANCHED_CHAINAMINOTRANSFERLEU_RXN_p_Night,0.0
BRANCHED_CHAINAMINOTRANSFERLEU_RXN_p_Open,0.0
BRANCHED_CHAINAMINOTRANSFERVAL_RXN_p_Close,0.0
BRANCHED_CHAINAMINOTRANSFERVAL_RXN_p_Day,0.0
BRANCHED_CHAINAMINOTRANSFERVAL_RXN_p_Night,0.0
BRANCHED_CHAINAMINOTRANSFERVAL_RXN_p_Open,0.0
Biomass_tx_Close,0.0
Biomass_tx_Day,0.0
Biomass_tx_Night,0.0
Biomass_tx_Open,0.0
CA2_rev_vc_Close,0.0
CA2_rev_vc_Day,0.0
CA2_rev_vc_Night,0.0
CA2_rev_vc_Open,0.0
CARBAMATE_KINASE_RXN_p_Close,0.0
CARBAMATE_KINASE_RXN_p_Day,0.0
CARBAMATE_KINASE_RXN_p_Night,0.0
CARBAMATE_KINASE_RXN_p_Open,0.0
CARBOXYCYCLOHEXADIENYL_DEHYDRATASE_RXN_p_Close,0.0
CARBOXYCYCLOHEXADIENYL_DEHYDRATASE_RXN_p_Day,0.0
CARBOXYCYCLOHEXADIENYL_DEHYDRATASE_RXN_p_Night,0.0
CARBOXYCYCLOHEXADIENYL_DEHYDRATASE_RXN_p_Open,0.0
CATAL_RXN_x_Close,0.0
CATAL_RXN_x_Day,0.5169704119445443
CATAL_RXN_x_Night,0.0
