,Flux
ALANINE_AMINOTRANSFERASE_RXN_x_Open,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Close,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Day,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Night,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Open,0.0
ALANINE_TRNA_LIGASE_RXN_c_Close,0.0
ALANINE_TRNA_LIGASE_RXN_c_Day,0.0
ALANINE_TRNA_LIGASE_RXN_c_Night,0.0
ALANINE_TRNA_LIGASE_RXN_c_Open,0.0
ALCOHOL_DEHYDROG_RXN_c_Close,0.0
ALCOHOL_DEHYDROG_RXN_c_Day,0.0
ALCOHOL_DEHYDROG_RXN_c_Night,0.0
ALCOHOL_DEHYDROG_RXN_c_Open,0.0
AMPSYN_RXN_p_Close,0.0
AMPSYN_RXN_p_Day,0.0
AMPSYN_RXN_p_Night,0.0
AMPSYN_RXN_p_Open,0.0
AMP_ATP_xc_Close,0.0
AMP_ATP_xc_Day,0.0
AMP_ATP_xc_Night,0.0
AMP_ATP_xc_Open,0.0
AMP_pc_Close,0.0
AMP_pc_Day,0.0
AMP_pc_Night,0.0
AMP_pc_Open,0.0
ANTHRANSYN_RXN_p_Close,0.0
ANTHRANSYN_RXN_p_Day,0.0
ANTHRANSYN_RXN_p_Night,0.0
ANTHRANSYN_RXN_p_Open,0.0
ARGININE_TRNA_LIGASE_RXN_c_Close,0.0
ARGININE_TRNA_LIGASE_RXN_c_Day,0.0
ARGININE_TRNA_LIGASE_RXN_c_Night,0.0
ARGININE_TRNA_LIGASE_RXN_c_Open,0.0
ARGSUCCINLYA_RXN_c_Close,0.0
ARGSUCCINLYA_RXN_c_Day,0.0
ARGSUCCINLYA_RXN_c_Night,0.0
ARGSUCCINLYA_RXN_c_Open,0.0
ARGSUCCINSYN_RXN_c_Close,0.0
ARGSUCCINSYN_RXN_c_Day,0.0
ARGSUCCINSYN_RXN_c_Night,0.0
ARGSUCCINSYN_RXN_c_Open,0.0
ARG_CITRULLINE_mc_Close,0.0
ARG_CITRULLINE_mc_Day,0.0
ARG_CITRULLINE_mc_Night,0.0
ARG_CITRULLINE_mc_Open,0.0
ARG_HIS_mc_Close,0.0
ARG_HIS_mc_Day,0.0
ARG_HIS_mc_Night,0.0
ARG_HIS_mc_Open,0.0
ARG_LYS_mc_Close,0.0
ARG_LYS_mc_Day,0.0
ARG_LYS_mc_Night,0.0
ARG_LYS_mc_Open,0.0
ARG_ORNITHINE_mc_Close,0.0
ARG_ORNITHINE_mc_Day,0.0
ARG_ORNITHINE_mc_Night,0.0
ARG_ORNITHINE_mc_Open,0.0
ARG_PROTON_rev_vc_Close,0.0
ARG_PROTON_rev_vc_Day,0.0
ARG_PROTON_rev_vc_Night,0.0
ARG_PROTON_rev_vc_Open,0.0
ARG_PROTON_vc_Close,0.0
ARG_PROTON_vc_Day,0.0
ARG_PROTON_vc_Night,0.0
ARG_PROTON_vc_Open,0.0
ARG_mc_Close,0.0
ARG_mc_Day,0.0
ARG_mc_Night,0.0
ARG_mc_Open,0.0
ASNSYNA_RXN_c_Close,0.0
ASNSYNA_RXN_c_Day,0.0
ASNSYNA_RXN_c_Night,0.0
ASNSYNA_RXN_c_Open,0.0
ASN_PROTON_rev_vc_Close,0.0
ASN_PROTON_rev_vc_Day,0.0
ASN_PROTON_rev_vc_Night,0.0
ASN_PROTON_rev_vc_Open,0.0
ASN_PROTON_vc_Close,0.0
ASN_PROTON_vc_Day,0.0
ASN_PROTON_vc_Night,0.0
ASN_PROTON_vc_Open,0.0
ASPAMINOTRANS_RXN_c_Close,0.0
ASPAMINOTRANS_RXN_c_Day,0.0
ASPAMINOTRANS_RXN_c_Night,0.0
ASPAMINOTRANS_RXN_c_Open,0.0
ASPAMINOTRANS_RXN_m_Close,0.0
ASPAMINOTRANS_RXN_m_Day,0.0
ASPAMINOTRANS_RXN_m_Night,0.0
ASPAMINOTRANS_RXN_m_Open,0.0
ASPAMINOTRANS_RXN_p_Close,0.0
ASPAMINOTRANS_RXN_p_Day,0.0
ASPAMINOTRANS_RXN_p_Night,0.0
ASPAMINOTRANS_RXN_p_Open,0.0
ASPAMINOTRANS_RXN_x_Close,0.0
ASPAMINOTRANS_RXN_x_Day,0.0
ASPAMINOTRANS_RXN_x_Night,0.0
ASPAMINOTRANS_RXN_x_Open,0.0
ASPARAGINE_TRNA_LIGASE_RXN_c_Close,0.0
ASPARAGINE_TRNA_LIGASE_RXN_c_Day,0.0
ASPARAGINE_TRNA_LIGASE_RXN_c_Night,0.0
ASPARAGINE_TRNA_LIGASE_RXN_c_Open,0.0
ASPARTATEKIN_RXN_p_Close,0.0
ASPARTATEKIN_RXN_p_Day,0.0
ASPARTATEKIN_RXN_p_Night,0.0
ASPARTATEKIN_RXN_p_Open,0.0
ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p_Close,0.0
ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p_Day,0.0
ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p_Night,0.0
ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p_Open,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_Close,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_Day,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_Night,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_Open,0.0
ATPPHOSPHORIBOSYLTRANS_RXN_p_Close,0.0
ATPPHOSPHORIBOSYLTRANS_RXN_p_Day,0.0
ATPPHOSPHORIBOSYLTRANS_RXN_p_Night,0.0
ATPPHOSPHORIBOSYLTRANS_RXN_p_Open,0.0
ATP_ADP_Pi_pc_Close,-0.02001935737603333
ATP_ADP_Pi_pc_Day,11.556439655992099
ATP_ADP_Pi_pc_Night,0.0
ATP_ADP_Pi_pc_Open,1.9141264947005392
ATP_ADP_mc_Close,3.109767651306206
ATP_ADP_mc_Day,20.698663469505643
ATP_ADP_mc_Night,27.98078694588525
ATP_ADP_mc_Open,2.4527010621628955
ATP_AMP_mc_Close,0.0
ATP_AMP_mc_Day,0.0
ATP_AMP_mc_Night,0.0
ATP_AMP_mc_Open,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Close,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Day,0.0
ATP_CITRATE_PRO_S_LYASE_RXN_c_Night,0.0
